duty, angle
0, 268.909088
0, 268.500000
0, 265.772736
0, 265.909088
0, 266.863647
0, 265.227264
0, 263.590912
0, 266.181824
0, 268.772736
0, 267.409088
0, 265.227264
0, 266.454559
0, 267.681824
0, 268.090912
0, 267.000000
0, 265.909088
0, 265.227264
0, 267.272736
0, 267.000000
0, 265.772736
0, 265.227264
0, 266.863647
0, 262.772736
0, 265.636353
0, 263.181824
0, 264.954559
0, 264.954559
0, 267.272736
0, 266.181824
0, 266.863647
0, 265.909088
0, 263.318176
0, 267.000000
0, 264.000000
0, 266.181824
0, 267.000000
0, 267.000000
0, 265.227264
0, 266.727264
0, 265.909088
0, 264.681824
0, 269.454559
0, 267.272736
0, 264.000000
0, 265.909088
0, 264.818176
0, 266.454559
0, 266.727264
0, 266.727264
0, 264.818176
0, 266.727264
0, 265.909088
0, 266.454559
0, 266.863647
0, 263.318176
0, 266.863647
0, 264.954559
0, 267.954559
0, 266.045441
0, 267.000000
0, 265.636353
0, 263.181824
0, 267.272736
0, 267.000000
0, 268.090912
0, 264.681824
0, 268.909088
0, 267.272736
0, 265.500000
0, 267.000000
0, 266.863647
0, 263.181824
0, 266.454559
0, 266.454559
0, 266.454559
0, 266.863647
0, 264.954559
0, 262.090912
0, 265.636353
0, 267.409088
0, 264.818176
0, 264.954559
0, 265.909088
0, 263.590912
0, 267.272736
0, 268.500000
0, 265.227264
0, 267.681824
0, 263.181824
0, 271.636353
0, 264.681824
0, 266.863647
0, 267.000000
0, 265.772736
0, 260.454559
0, 266.863647
0, 266.863647
0, 268.090912
0, 265.227264
0, 279.681824
0, 269.454559
0, 268.772736
0, 269.454559
0, 266.727264
0, 265.772736
0, 266.454559
0, 264.954559
0, 268.090912
0, 267.000000
0, 276.954559
0, 266.454559
0, 266.863647
0, 264.954559
0, 269.454559
0, 266.454559
0, 268.363647
0, 265.909088
0, 266.863647
0, 266.454559
0, 271.772736
0, 265.227264
0, 266.863647
0, 266.181824
0, 269.454559
0, 264.954559
0, 266.454559
0, 270.272736
0, 263.590912
0, 267.000000
0, 265.772736
0, 265.636353
0, 266.863647
0, 263.590912
0, 267.000000
0, 266.454559
0, 268.500000
0, 264.818176
0, 263.181824
0, 267.681824
0, 268.500000
0, 265.909088
0, 262.772736
0, 267.272736
0, 265.227264
0, 264.818176
0, 267.681824
0, 265.227264
0, 266.863647
0, 265.227264
0, 266.045441
0, 264.818176
0, 267.000000
0, 265.909088
0, 268.500000
0, 265.909088
0, 266.181824
0, 268.090912
0, 264.954559
0, 268.500000
0, 264.954559
0, 264.954559
0, 265.227264
0, 265.636353
0, 268.090912
0, 265.636353
0, 266.454559
0, 267.681824
0, 261.681824
0, 268.090912
0, 268.090912
0, 266.181824
0, 267.272736
0, 267.272736
0, 266.454559
0, 269.454559
0, 263.590912
0, 267.272736
0, 265.636353
0, 268.500000
0, 266.454559
0, 266.181824
0, 266.454559
0, 266.863647
0, 264.681824
0, 266.181824
0, 267.272736
0, 265.500000
0, 269.454559
0, 267.272736
0, 265.909088
0, 263.590912
0, 266.863647
0, 264.954559
0, 266.181824
0, 265.227264
0, 268.090912
0, 264.000000
0, 264.000000
0, 264.954559
0, 265.909088
0, 266.727264
0, 266.454559
0, 267.272736
0, 265.909088
0, 265.227264
0, 265.909088
0, 261.409088
0, 266.181824
0, 266.454559
0, 266.454559
0, 265.227264
0, 267.272736
0, 266.863647
0, 267.954559
0, 264.818176
0, 265.227264
0, 266.181824
0, 261.681824
0, 266.045441
0, 266.454559
0, 266.454559
0, 266.181824
0, 267.000000
0, 267.272736
0, 265.909088
0, 266.454559
0, 268.090912
0, 265.636353
0, 268.500000
0, 266.454559
0, 275.590912
0, 264.954559
0, 264.954559
0, 265.909088
0, 267.272736
0, 266.045441
0, 265.227264
0, 267.681824
0, 267.272736
0, 264.000000
0, 279.409088
0, 264.000000
0, 262.909088
0, 268.090912
0, 264.681824
0, 266.454559
0, 266.454559
0, 264.000000
0, 262.909088
0, 263.590912
0, 275.590912
0, 265.227264
0, 264.681824
0, 268.500000
0, 267.272736
0, 266.863647
0, 267.409088
0, 266.181824
0, 268.090912
0, 268.090912
0, 266.863647
0, 265.909088
0, 264.954559
0, 266.181824
0, 266.454559
0, 264.818176
0, 267.272736
0, 265.227264
0, 263.590912
0, 263.590912
0, 266.863647
0, 265.909088
0, 265.227264
0, 266.045441
0, 266.181824
0, 267.954559
0, 264.818176
0, 267.409088
0, 264.000000
0, 266.863647
0, 267.272736
0, 265.227264
0, 266.181824
0, 267.954559
0, 267.000000
0, 266.454559
0, 266.727264
0, 265.500000
0, 263.590912
0, 268.909088
0, 265.227264
0, 267.272736
0, 267.272736
0, 266.181824
0, 268.090912
0, 263.590912
0, 266.181824
0, 265.909088
0, 266.863647
0, 268.500000
0, 267.272736
0, 268.090912
0, 263.045441
0, 265.909088
0, 267.272736
0, 264.000000
0, 265.636353
0, 264.954559
0, 265.227264
0, 263.318176
0, 265.636353
0, 263.590912
0, 268.090912
0, 265.772736
0, 267.954559
0, 266.454559
0, 263.590912
0, 265.227264
0, 263.590912
0, 264.818176
0, 266.454559
0, 268.090912
0, 268.772736
0, 267.681824
0, 268.090912
0, 267.272736
0, 266.454559
0, 265.772736
0, 266.454559
0, 268.090912
0, 263.590912
0, 268.909088
0, 266.727264
0, 266.181824
0, 266.727264
0, 265.772736
0, 265.909088
0, 268.090912
0, 266.863647
0, 263.181824
0, 265.227264
0, 265.909088
0, 267.272736
0, 266.863647
0, 265.909088
0, 266.045441
0, 266.454559
0, 265.227264
0, 266.181824
0, 266.863647
0, 264.818176
0, 268.090912
0, 266.454559
0, 268.090912
0, 266.863647
0, 266.863647
0, 265.227264
0, 263.590912
0, 265.227264
0, 264.954559
0, 267.272736
0, 267.954559
0, 267.681824
0, 266.454559
0, 266.454559
0, 267.000000
0, 267.681824
0, 266.454559
0, 266.454559
0, 265.909088
0, 267.954559
0, 275.454559
0, 265.636353
0, 268.500000
0, 265.227264
0, 268.909088
0, 268.090912
0, 265.636353
0, 269.863647
0, 267.954559
0, 265.909088
0, 278.863647
0, 266.045441
0, 264.681824
0, 264.818176
0, 265.772736
0, 266.863647
0, 265.909088
0, 267.681824
0, 266.454559
0, 267.272736
0, 275.181824
0, 268.090912
0, 268.090912
0, 265.227264
0, 268.090912
0, 266.863647
0, 265.909088
0, 263.318176
0, 266.863647
0, 268.909088
0, 264.000000
0, 268.090912
0, 267.272736
0, 264.000000
0, 265.227264
0, 266.181824
0, 263.590912
0, 265.227264
0, 266.045441
0, 265.909088
0, 266.181824
0, 264.818176
0, 266.727264
0, 266.727264
0, 266.454559
0, 263.590912
0, 266.863647
0, 264.954559
0, 266.727264
0, 267.000000
0, 265.909088
0, 267.272736
0, 265.636353
0, 264.000000
0, 266.045441
0, 263.590912
0, 265.772736
0, 262.227264
0, 267.000000
0, 265.909088
0, 265.500000
0, 267.954559
0, 267.954559
0, 267.954559
0, 265.227264
0, 266.863647
0, 266.454559
