I (6316) Encoder_PWM: Angle: 309.000000, RPM: 30.545410
I (6326) Encoder_PWM: Angle: 316.500000, RPM: 120.000000
I (6336) Encoder_PWM: Angle: 317.590912, RPM: 17.454590
I (6346) Encoder_PWM: Angle: 318.409088, RPM: 13.090820
I (6356) Encoder_PWM: Angle: 322.090912, RPM: 58.909180
I (6366) Encoder_PWM: Angle: 329.181824, RPM: 113.454590
I (6376) Encoder_PWM: Angle: 324.409088, RPM: 5683.636230
I (6386) Encoder_PWM: Angle: 331.772736, RPM: 117.818359
I (6396) Encoder_PWM: Angle: 335.181824, RPM: 54.545410
I (6406) Encoder_PWM: Angle: 336.409088, RPM: 19.636230
I (6416) Encoder_PWM: Angle: 344.181824, RPM: 124.363770
I (6426) Encoder_PWM: Angle: 342.681824, RPM: 5736.000000
I (6436) Encoder_PWM: Angle: 347.045441, RPM: 69.817871
I (6446) Encoder_PWM: Angle: 349.500000, RPM: 39.272949
I (6456) Encoder_PWM: Angle: 357.818176, RPM: 133.090820
I (6466) Encoder_PWM: Angle: 9.545455, RPM: 187.636230
I (6476) Encoder_PWM: Angle: 12.272727, RPM: 43.636353
I (6486) Encoder_PWM: Angle: 18.136364, RPM: 93.818192
I (6496) Encoder_PWM: Angle: 19.909090, RPM: 28.363617
I (6506) Encoder_PWM: Angle: 19.909090, RPM: 0.000000
I (6516) Encoder_PWM: Angle: 24.136364, RPM: 67.636383
I (6526) Encoder_PWM: Angle: 26.863636, RPM: 43.636353
I (6536) Encoder_PWM: Angle: 30.136364, RPM: 52.363647
I (6546) Encoder_PWM: Angle: 27.681818, RPM: 5720.727051
I (6556) Encoder_PWM: Angle: 33.818180, RPM: 98.181793
I (6566) Encoder_PWM: Angle: 36.000000, RPM: 34.909119
I (6576) Encoder_PWM: Angle: 39.681820, RPM: 58.909119
I (6586) Encoder_PWM: Angle: 45.000000, RPM: 85.090881
I (6596) Encoder_PWM: Angle: 42.954544, RPM: 5727.272461
I (6606) Encoder_PWM: Angle: 48.136364, RPM: 82.909119
I (6616) Encoder_PWM: Angle: 53.454544, RPM: 85.090881
I (6626) Encoder_PWM: Angle: 53.454544, RPM: 0.000000
I (6636) Encoder_PWM: Angle: 55.636364, RPM: 34.909119
I (6646) Encoder_PWM: Angle: 55.636364, RPM: 0.000000
I (6656) Encoder_PWM: Angle: 61.227272, RPM: 89.454529
I (6666) Encoder_PWM: Angle: 64.227272, RPM: 48.000000
I (6676) Encoder_PWM: Angle: 66.136360, RPM: 30.545410
I (6686) Encoder_PWM: Angle: 67.227272, RPM: 17.454590
I (6696) Encoder_PWM: Angle: 69.136360, RPM: 30.545410
I (6706) Encoder_PWM: Angle: 75.545456, RPM: 102.545532
I (6716) Encoder_PWM: Angle: 74.181816, RPM: 5738.181641
I (6726) Encoder_PWM: Angle: 81.954544, RPM: 124.363647
I (6736) Encoder_PWM: Angle: 80.727272, RPM: 5740.363770
I (6746) Encoder_PWM: Angle: 85.090912, RPM: 69.818237
I (6756) Encoder_PWM: Angle: 84.136360, RPM: 5744.727051
I (6766) Encoder_PWM: Angle: 84.818184, RPM: 10.909180
I (6776) Encoder_PWM: Angle: 88.363640, RPM: 56.727295
I (6786) Encoder_PWM: Angle: 91.500000, RPM: 50.181763
I (6796) Encoder_PWM: Angle: 90.272728, RPM: 5740.363770
I (6806) Encoder_PWM: Angle: 94.772728, RPM: 72.000000
I (6816) Encoder_PWM: Angle: 97.090912, RPM: 37.090942
I (6826) Encoder_PWM: Angle: 98.727272, RPM: 26.181763
I (6836) Encoder_PWM: Angle: 102.000000, RPM: 52.363647
I (6846) Encoder_PWM: Angle: 101.454544, RPM: 5751.272461
I (6856) Encoder_PWM: Angle: 103.227272, RPM: 28.363647
I (6866) Encoder_PWM: Angle: 106.909088, RPM: 58.909058
I (6876) Encoder_PWM: Angle: 107.727272, RPM: 13.090942
I (6886) Encoder_PWM: Angle: 111.409088, RPM: 58.909058
I (6896) Encoder_PWM: Angle: 110.181816, RPM: 5740.363770
I (6906) Encoder_PWM: Angle: 108.545456, RPM: 5733.818359
I (6916) Encoder_PWM: Angle: 113.454544, RPM: 78.545410
I (6926) Encoder_PWM: Angle: 114.136360, RPM: 10.909058
I (6936) Encoder_PWM: Angle: 112.772728, RPM: 5738.181641
I (6946) Encoder_PWM: Angle: 112.227272, RPM: 5751.272461
